gene,rna_log2fc,prot_log2fc,residual
NAMPT,-0.616189000203744,-0.49044820896046204,-0.35132389500615135
RBM14,0.573903432201309,-0.3189323112323077,-0.3512932177447308
VAMP3,-0.129976460443468,-0.4203172549629919,-0.3512532676725376
OMA1,-0.628098155251626,0.2103649511860901,0.35120530334327504
CSRP1,0.0075571399189044,0.3015548636922567,0.35080107957476886
AKT2,0.179631626857019,-0.37479269616579813,-0.35034138740629794
LPP,0.721910573071959,-0.2964058284457671,-0.35009368107746097
CTSC,-0.257624996886842,0.2626006277480233,0.3500580077012733
WIPI1,-0.529211033466447,-0.47485299919631885,-0.34826169141494134
TRIM63,-0.553875876804388,-0.4780777585334377,-0.3479323939557855
LZIC,-0.256775015636443,-0.43492047781963095,-0.3475855750943242
NHLRC2,-0.0879876530031882,-0.4092748676947391,-0.34626121708820123
SEC23IP,0.159021361000779,-0.3732580856660661,-0.34583696053936763
FNTA,-0.268986456636036,-0.4344260940455733,-0.34533159551492243
APOBEC2,0.406411031537614,-0.3367752668989503,-0.345001517587816
IPO5,0.450838291838255,-0.3303310859441879,-0.3449590398284869
PGM5,-0.271834330323759,-0.4342793740547002,-0.3447745139135535
CYTH1,0.0645447514059379,-0.38566436753960787,-0.3446297265345002
APIP,-0.325737649781203,-0.44039717480967866,-0.34312516787442277
SPR,0.60464446810351,-0.3061652128217567,-0.3429557192337534
COQ10B,0.970213910227108,-0.25339693271499186,-0.3428638150718189
PSMB7,0.577949477153389,-0.309794516879208,-0.34273843433408674
GGCT,-0.0970959075506668,-0.40701555116036303,-0.34268945540535467
ADPRHL1,0.476877271781268,-0.3237077757791731,-0.34208779134764944
MLEC,-0.125055209444455,0.27286083192215393,0.34121569629949766
SYNJ2BP,-0.64218314548012,0.19830837891370123,0.34117829414417106
AGA,-0.411089928852148,0.23131900133452632,0.3408897625474143
SPEG,1.06729904037984,-0.23720641908065687,-0.34066268956815
PON3,-0.784595652867012,0.17713125523501105,0.3405219632723958
UBE2K,0.194516225094432,-0.36276165385169534,-0.34045512690980845
SRSF10,-0.140433602951121,0.26987359567988634,0.3404443948275952
ACSL6,-0.59902835742155,0.20344989392803825,0.34010146162270904
CAB39,0.815223676703173,-0.27250437321066556,-0.3396380874518613
HECTD1,0.21251576202093,-0.3591876833694556,-0.33947478232929956
EZR,-0.0192147548750766,-0.3924127353123623,-0.3393088490875725
PDLIM3,0.845480180313708,0.41061501163200376,0.3391215157041707
GALK1,0.888367047158124,-0.2608182662637297,-0.33849150387858407
LRBA,-0.784780457001484,-0.5018786903053893,-0.3384613530946058
TMED2,0.274113155368081,0.32759100783229655,0.338428091926902
EHBP1L1,0.613870526331527,-0.30004748993212793,-0.3381674163002478
FTH1,0.356406122559696,-0.33663050181448284,-0.33765134340485703
RUVBL2,0.3965695474405,0.3443869479090811,0.33757879637298693
PDIA4,0.495165134413676,0.3585462841752438,0.33753109669071213
PGP,0.349540116816368,-0.33669422204330957,-0.3367257131626107
SELENBP1,-0.13974012739852,-0.40703243067481765,-0.33656155721757447
TPT1,0.111759811179182,-0.37012562398600934,-0.33589439145078176
PLIN2,1.69743384422936,-0.1414128910748147,-0.3356678279680099
PPP5C,0.0048580436451942,-0.38527607660774166,-0.335640937052618
INPP5A,0.0785248970585563,-0.3743634027157263,-0.3353432173059302
RPS7,0.288653129769677,0.3261662427956189,0.3349082033116301
PANK4,-0.460150858320897,-0.4492784861736929,-0.3326383376786347
MYH10,-0.0071282690888154,0.280784041982983,0.3321463377032971
ITGA1,-0.112918011673363,-0.39818497783721085,-0.3315790112588539
STAT3,0.878783017486053,-0.2541429228100611,-0.3304351589190464
TMED5,0.414063882593077,0.3396629724332936,0.330333991557502
GADD45GIP1,0.838718615706267,-0.25876958270601236,-0.32928877750744984
CRIP2,0.157887807703502,-0.35656746739197587,-0.32898300399692
ERAP1,-0.677017240220903,0.18083751951584404,0.3287268200089446
MRPL18,-0.740147248270115,0.17145034249478286,0.32843630056977213
TEFM,-0.795903566816265,0.1634112271302488,0.32843133811466996
THEM4,-0.749840319677694,0.16973097367720769,0.32811364552170585
EIF4A1,1.64420651819324,-0.14137292045922223,-0.32795811717793993
YWHAG,0.462263885746072,-0.31130317585195044,-0.32757748966333994
SBDS,0.940125048093724,-0.24228286282417777,-0.3274141196312237
CKM,0.20399348969551,-0.3479303749574534,-0.3269894653115718
PTGR2,-0.531498557659413,-0.45373954995742594,-0.32681862358519576
