gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
RHOG,0.58370100370888,0.46651370234468814,0.4327410242217028,1.1445429282965327,16.93164417121587,17.398157873560557
CFL2,0.36358358405964,-0.4304534830830278,-0.4325085540611328,-1.1439280753858365,19.852854418647265,19.422400935564237
SMARCC2,-0.124128002018568,-0.5005409995957262,-0.43231974027755027,-1.1434286878337712,15.04903026694145,14.548489267345724
UBE2L3,-0.500332753640053,-0.5546561622897137,-0.43222604236894746,-1.1431808692247536,18.724283896871057,18.169627734581344
PARK7,0.570728432282516,-0.3982147810285106,-0.4301181889918876,-1.137605875079147,20.095725823457997,19.697511042429486
MYOT,0.0987889712745018,0.39357059246731296,0.42967084566020297,1.1364227109737304,16.079280298746728,16.47285089121404
P4HA1,-0.0458968708811671,0.3726702367247725,0.4296188567040461,1.1362852070423066,18.42343882700496,18.796109063729734
MDH1,-0.237052714119532,-0.5124406283366483,-0.4279475916140553,-1.131864931327754,23.408598597388362,22.896157969051714
MAPKAPK2,0.323668153984878,-0.4306931510182803,-0.4269966466228976,-1.1293498072606838,16.035415215146106,15.604722064127825
DHDH,-0.415714880883638,-0.5365514704213261,-0.4263142812090891,-1.127545040748673,16.70082287318742,16.164271402766094
ERP44,-0.684525273866623,0.2766805771039067,0.42565174045904225,1.1257927078573362,16.88970716648901,17.166387743592917
ANK3,-0.365284995615502,-0.5282076640826858,-0.42523712051732665,-1.1246960928020042,15.74087262102825,15.212664956945565
LCLAT1,-0.83427489737593,0.25337640735351386,0.42392559818203446,1.1212272892217072,16.036297997134042,16.289674404487556
RAB11FIP5,0.777030509952465,-0.3621911625854892,-0.42382146932468795,-1.1209518821291582,16.044596771621258,15.682405609035769
NACA,0.0380520292893221,-0.46633211963751364,-0.4214800354076384,-1.1147590982657551,19.0707777518943,18.604445632256787
RNH1,1.17433922816119,-0.3014042086566384,-0.4202843316959793,-1.1115966196678946,17.813932223155142,17.512528014498503
ACO1,-0.298075001502738,-0.5131804439036394,-0.4198944595743248,-1.1105654593322594,17.791295977712835,17.278115533809196
LAMA4,-0.155814157557775,-0.4917387999236631,-0.418951754603972,-1.108072129033317,17.499913969574187,17.008175169650524
ACTB,1.13143885739734,0.5312436841555552,0.41854524863747367,1.1069969743721597,22.267271800816275,22.79851548497183
THTPA,-0.076475173718588,-0.4795581893856298,-0.4182034183706953,-1.1060928784057036,14.872017390293445,14.392459200907815
SEC11A,0.210235836809085,0.3972178036936729,0.4172592283568309,1.103595620362558,14.148578357210772,14.545796160904445
PALLD,0.083350599715095,-0.453372292619612,-0.41504746217673305,-1.0977457905595498,16.854796780650542,16.40142448803093
PTBP1,0.959949808655781,0.5016863419292328,0.413698455382248,1.094177845529081,15.817913736116815,16.319600078046047
